reviewer_name,rating,review_text
Pankaj Kumar,5.0 out of 5 stars,"The iPhone 13 128GB has surpassed my expectations in every aspect, setting a new standard for smartphone excellence. From its sleek design to its powerful performance and innovative features, this device has truly redefined what it means to own a premium smartphone.

Design and Build Quality:
The iPhone 13â€™s design is a masterpiece of craftsmanship, featuring a sleek aluminum frame and a stunning ceramic shield front cover. The device feels incredibly premium in hand, with its compact form factor and exquisite attention to detail. The IP68 water and dust resistance provide added durability and peace of mind, making it perfect for everyday use.

Display:
The Super Retina XDR display of the iPhone 13 is nothing short of breathtaking. The 6.1-inch OLED screen delivers vibrant colors, deep blacks, and excellent brightness levels, ensuring an immersive viewing experience for everything from streaming videos to browsing the web. The True Tone technology adapts the display to ambient lighting conditions, providing a comfortable viewing experience at all times.

Performance:
Powered by the A15 Bionic chip, the iPhone 13 delivers unparalleled performance and responsiveness. Apps launch instantly, animations are buttery smooth, and multitasking is a breeze, thanks to the efficient CPU and GPU. Whether itâ€™s gaming, productivity tasks, or content creation, this device handles everything with ease, making it a true powerhouse in the palm of your hand.

Camera:
The camera system of the iPhone 13 is a true game-changer, capturing stunning photos and videos with remarkable clarity and detail. The dual-camera setup includes a 12MP wide and ultra-wide lens, with features such as Night mode, Deep Fusion, and Smart HDR 4 elevating photography to new heights. The addition of Cinematic mode adds a cinematic touch to video recordings, allowing users to unleash their creativity like never before.

Battery Life:
Battery life on the iPhone 13 is exceptional, easily lasting a full day with heavy usage. The efficient power management of the A15 chip, coupled with software optimizations, ensures long-lasting performance without compromising on productivity or entertainment. With MagSafe charging and fast charging support, staying powered up on the go has never been easier or more convenient.

iOS Experience:
As expected, the iPhone 13 runs on the latest version of iOS, providing a seamless and intuitive user experience. iOS 15 introduces a host of new features and improvements, including Focus mode, Live Text, and enhanced privacy controls, further enhancing the overall user experience and productivity.

Conclusion:
In conclusion, the iPhone 13 128GB is a true masterpiece of innovation and excellence, delivering an unparalleled experience that is sure to delight even the most discerning smartphone users. With its stunning design, powerful performance, innovative features, and exceptional battery life, itâ€™s not just a smartphone - itâ€™s a lifestyle upgrade. If youâ€™re looking for the best of the best, look no further than the iPhone 13."
Jnan Shetty,5.0 out of 5 stars,"This is my first iPhone and it always feels good to hold this masterpiece. This looks premium not just because of its branding, it has everything which makes it feel premium. However, despite all the looks and finish, the transition from Android to Apple is not very smooth and you may constantly lack certain features that can make life easy. I was using vivo y19 Lite before this and still have that phone with me. Putting out the feature that is being missed by me-
1. Forwarding Anything in Whatsapp: Forwarding anything in Whatsapp from IPhone takes bit more step as compared to what is being offered in Android. This makes the entire process slow for an Android User
2. App Switcher: Apple could have easily made App Switcher easy with just light Swipe up, instead they made it with long pressed Swipe up. Why man, why.. You don't have any features for Swipe up, just make it easy to launch.
3. Andorid Dialer is Always Missed: Every android has a basic feature, where you can search the contact directly from Phone Dialer, here Dialer is used for Dialing Number only and it will not suggest you similar contact from contacts or last Dial. This is really bad.. If you have to Dial a number directly, use Dialer.. If you have to dial someone from Recent Call log, shift to that and if you to dial someone from contact, shift to that. Man, all this can be done under one button, under dialer. Android user will miss this very badly.
4. Sending Multiple Files in Whatsapp: If you wants to add more than 1 file directly from whatsapp, you have to do it twice. In Android, one can simple start selecting from whatspp itself and can select as many files as they wants and can send in a single click. Here for sending multiple files, you have to go to gallery or folder and select all files first and share it through whatsapp.
5. No Swipe based shifting from Chats to Status and to calls: In Android Whatsapp, you can switch between Calls, Chats and Status by just swiping, here you have to press button of each.
6. Contact Viewing: Contact list sorting method is still out of my mind. Man, make it easy. For example, if one of your contacts First Name or Middle Name or Last Name, any one of thing start with Alphabet ""A"", than it will be shown on top of the list. Apple, pls adopt any one method or at least allow us to customise it.
7. Many Apps in Android are much more refined than its version on Apple.
8. This is for those who had use Samsung Pay: Samsung Pay was one of the best app for making UPI or Card Payment, just swipe up from home screen of Samsung Phones (Only S Series) and the app is open for payment, I miss that here very badly.
9. Lack of Dual Messenger Facility: You can't use two different WhatsApp numbers here in the same phone, as supported in all android right now.

These are the issues that I face right now. Apart from this, the phone is good, the sound is loud and clear, it Feels Premium in Hand, the Touch is very good and Face ID works like a charm. Gesture control customisation is really good and you can customise a lot of things."
vaibhav,5.0 out of 5 stars,"I snagged the iPhone 13 during the Great Indian Festival for an unbeatable price of 45,000, and let me tell you, it's been a game-changer in every way!

Screen: The display is absolutely stunning â€“ crisp, vibrant, and the colors pop like never before. Watching videos or scrolling through photos is a treat for the eyes. No complaints here!

Hanging: Zero issues with hanging or lagging. This phone handles multitasking like a champ. Switching between apps is smooth, and I haven't experienced any frustrating delays.

Battery: The battery life is surprisingly impressive. I can go a full day with normal usage, and it still has juice left in the tank. No more anxiously searching for a charger midday â€“ a definite win!

Comfort: The sleek design makes it a pleasure to hold, and the phone is just the right weight. It feels premium and comfortable in my hand, making it a joy to use for extended periods.

Image Quality: The camera on the iPhone 13 is a true standout. The photos are sharp, and the night mode is a game-changer for capturing memories in low light. Selfies have never looked this good!

Color: I went for the classic Midnight color, and it's elegant and timeless. The finish adds a touch of sophistication, and it doesn't attract fingerprints like some other phones I've had in the past.

In summary, getting the iPhone 13 during the Great Indian Festival was an absolute steal. From the incredible screen to the reliable battery life and stunning camera, it's exceeded my expectations. If you're on the fence, take the plunge â€“ you won't be disappointed."
Nagendra Singh Madnawat,4.0 out of 5 stars,"The iPhone 13 is, without a doubt, a game-changer. As an avid Apple user, I recently upgraded to this incredible device, and it has exceeded my already high expectations in every way. Here's why I am thoroughly impressed with the iPhone 13:

Performance: The A15 Bionic chip is a powerhouse. It makes everything I do on my phone feel lightning-fast and seamless. Whether I'm gaming, streaming, or multitasking, the iPhone 13 handles it all effortlessly.

Display: The Super Retina XDR display is a work of art. The colors are vivid, the brightness is exceptional, and the contrast is stunning. Whether I'm watching movies, browsing the web, or scrolling through social media, the visual experience is second to none.

Camera: The camera system on the iPhone 13 is nothing short of amazing. It captures photos and videos with outstanding clarity and detail. The Night mode has been a game-changer for low-light photography, and the Cinematic mode for videos adds a whole new dimension to my creative endeavors.

Battery Life: Apple has improved battery life on the iPhone 13, and it shows. I can go through an entire day of heavy usage without needing to reach for a charger. The battery management features are also impressive, ensuring I get the most out of every charge.

iOS: The iPhone 13 runs on iOS, and the user experience is unmatched. The interface is intuitive, and the App Store offers a vast ecosystem of apps that enhance the device's capabilities.

Design: The iPhone 13 boasts a sleek and premium design. It's durable and feels great in hand. The Ceramic Shield front cover offers extra protection, which is a welcome addition.

5G Capability: The iPhone 13 is 5G-ready, which means I can experience lightning-fast data speeds and low latency, making it future-proof and ready for the latest advancements in mobile technology.

Privacy and Security: Apple's commitment to user privacy and security is commendable. With features like Face ID and enhanced data protection, I feel confident that my personal information is in safe hands.

In summary, the iPhone 13 is a stunning upgrade, delivering on Apple's legacy of innovation and excellence. It offers exceptional performance, a breathtaking display, a camera system that redefines mobile photography and videography, and a design that exudes luxury. This device is a testament to Apple's commitment to pushing the boundaries of what a smartphone can be. If you're looking for the best in the business, the iPhone 13 is it. I wholeheartedly recommend it to anyone seeking a top-tier mobile experience. It's worth every penny and more!"
Ranjit Kumar,5.0 out of 5 stars,"Step into a world of sophistication with the Apple iPhone 13 128GB in Pink. Radiating elegance, this sleek device combines cutting-edge technology with a stunning design. Its vibrant pink hue adds a touch of personality, standing out in a sea of smartphones. With 128GB of storage, you'll have ample space for all your photos, videos, and apps. The powerful A15 Bionic chip ensures seamless performance, while the advanced camera system captures every moment in breathtaking detail. Elevate your mobile experience with the iPhone 13 Pink and make a statement wherever you go."
ApTreX,5.0 out of 5 stars,"My honest review after going broke buying this depreciating object.
I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!
I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.

iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I canâ€™t believe what Iâ€™m seeing, all the games/apps are so much smoother and optimised than on android.

I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isnâ€™t disappointing.

Display quality is truly flagship level and Iâ€™m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.
I would recommend NOT to waste extra 40k for buying 13 pro. Because I donâ€™t think having a extra camera telephoto lens is worth spending 40k.

You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.

Speakers are Great.

Battery life is better than my previous devices,
iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.
NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.

For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.

But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.
Truly worth it."
NEHA,5.0 out of 5 stars,"Great product.. I love android and apple both, both have different characters I see. When it comes to iphone 13, I love the camera( great pictures), sound(like a surround sound), software, quality, smoothness etc it offers and with style and premiumness. It's not only about the style but really and honestly, overall the product is great. One should use it and realize how great and satisfying this brand and product is.. Great brand.. Go fot it if you could, you'll not regret.."
Siva,5.0 out of 5 stars,Good phone. Delivery also good. But invoice should contain IMEI number of iphone along with model details.
Keshav Maheshwari,4.0 out of 5 stars,"This is my first iPhone and it always feels good to hold this masterpiece. This looks premium not just because of its branding, it has everything which makes it feel premium. However, despite all the looks and finish, the transition from Android to Apple is not very smooth and you may constantly lack certain features that can make life easy. I was using Samsung S10 Lite before this and still have that phone with me. Putting out the feature that is being missed by me-
1. Forwarding Anything in Whatsapp: Forwarding anything in Whatsapp from IPhone takes bit more step as compared to what is being offered in Android. This makes the entire process slow for an Android User
2. App Switcher: Apple could have easily made App Switcher easy with just light Swipe up, instead they made it with long pressed Swipe up. Why man, why.. You don't have any features for Swipe up, just make it easy to launch.
3. Andorid Dialer is Always Missed: Every android has a basic feature, where you can search the contact directly from Phone Dialer, here Dialer is used for Dialing Number only and it will not suggest you similar contact from contacts or last Dial. This is really bad.. If you have to Dial a number directly, use Dialer.. If you have to dial someone from Recent Call log, shift to that and if you to dial someone from contact, shift to that. Man, all this can be done under one button, under dialer. Android user will miss this very badly.
4. Sending Multiple Files in Whatsapp: If you wants to add more than 1 file directly from whatsapp, you have to do it twice. In Android, one can simple start selecting from whatspp itself and can select as many files as they wants and can send in a single click. Here for sending multiple files, you have to go to gallery or folder and select all files first and share it through whatsapp.
5. No Swipe based shifting from Chats to Status and to calls: In Android Whatsapp, you can switch between Calls, Chats and Status by just swiping, here you have to press button of each.
6. Contact Viewing: Contact list sorting method is still out of my mind. Man, make it easy. For example, if one of your contacts First Name or Middle Name or Last Name, any one of thing start with Alphabet ""A"", than it will be shown on top of the list. Apple, pls adopt any one method or at least allow us to customise it.
7. Many Apps in Android are much more refined than its version on Apple.
8. This is for those who had use Samsung Pay: Samsung Pay was one of the best app for making UPI or Card Payment, just swipe up from home screen of Samsung Phones (Only S Series) and the app is open for payment, I miss that here very badly.
9. Lack of Dual Messenger Facility: You can't use two different WhatsApp numbers here in the same phone, as supported in all android right now.

These are the issues that I face right now. Apart from this, the phone is good, the sound is loud and clear, it Feels Premium in Hand, the Touch is very good and Face ID works like a charm. Gesture control customization is really good and you can customize a lot of things."
KOMESH SUMAN,4.0 out of 5 stars,"Pros :- 1) Offcourse a clean apple os
2) A beast for gaming
3) Battery backup decent
4) Display is best in the segment
5) The feel when keeping it in hand was awesome
Cons :- 1) Camera performance was very much decreased after upgrading to ios 17.4.1
2) Heatâ€™s much while gaming and not using the a seperate fan for device"
Rahul Moghe,4.0 out of 5 stars,"Writing this review after using the phone for 5 months.
Pros
- camera clicks amazing pictures, video recording is the best I've seen in a phone so far compared to my previous phones. Stable videos with no shaking
- battery life is good. Lasts an entire day with medium use. I don't game on the phone. Charging is as quick as it is with phones that use USB C.
- display is soo good. So bright
- built is solid, dropped phone a couple of times once with the cover and once without and not even a scratch.
- listening to music and watching videos is a hot cos of how good the speakers r. Crystal clear with the right amount of bass and treble.

Cons
- phone is a tad heavy and using it for hrs on a stretch can result in pain in the wrist or fingers

Got the phone in Diwali sale on discount so bang for buck if u ask me"
Shreyank,4.0 out of 5 stars,Not value for money
yogendra,4.0 out of 5 stars,"#Camara is outstanding
#Battery Backup need improvement
#All is well"
Shobhan,4.0 out of 5 stars,Good
Faizan,4.0 out of 5 stars,Good
Realme buds air 5,4.0 out of 5 stars,"It's an absolute all rounder. I mean you know about apple right, it has never disappointed me this time neither"
Aditya,4.0 out of 5 stars,"As everyone knows it is very Good mobile, but how ever you use battery health percentage will keep decreasing, for me this only issue with iphones"
Rohit,4.0 out of 5 stars,Nice
harsh gupta,4.0 out of 5 stars,Battery issue
Faiyaz,4.0 out of 5 stars,"Design:
The iPhone 13 retains the iconic design of its predecessors, but with some subtle refinements. The overall construction is sleek and elegant, featuring a durable aerospace-grade aluminum frame and ceramic shield front cover for improved durability. The device is available in a range of attractive colors, catering to different aesthetic preferences.

Display:
One of the most significant upgrades is the stunning Super Retina XDR display, which offers vivid colors, deep blacks, and outstanding brightness. The improved refresh rate provides smoother scrolling and more responsive touch interactions, making it a delight to use for various tasks, from browsing the web to watching videos and playing games.

Performance:
Powered by the latest A15 Bionic chip, the iPhone 13 delivers exceptional performance across the board. The processing power ensures seamless multitasking, swift app launches, and impressive gaming capabilities. The neural engine's advancements further enhance machine learning tasks, contributing to better efficiency and smarter features.

Camera:
The iPhone 13's camera system is a standout feature, significantly raising the bar for mobile photography and videography. The dual-camera setup, comprising wide and ultra-wide lenses, captures stunning images with sharp detail, accurate colors, and improved low-light performance. The addition of Cinematic mode for video recording introduces a new level of creativity, allowing users to achieve professional-looking focus transitions and selective focus effects.

Battery Life:
The iPhone 13 boasts impressive battery life, keeping pace with the demands of modern usage. Whether you're streaming content, navigating with GPS, or engaging in video calls, the device offers extended endurance, reducing the need for frequent recharging. This improvement is a game-changer for users who rely on their smartphones throughout the day.

Connectivity:
With support for 5G networks, the iPhone 13 ensures faster download and upload speeds, enabling seamless streaming, swift downloads, and lag-free online experiences. The expanded 5G coverage allows users to stay connected in more locations, tapping into the potential of next-generation connectivity."
"Great product, Good pricing",5.0 out of 5 stars,"The first time I am purchasing a apple product, and I am really happy with the product, performance and the delivery."
Akshay Mokashi,5.0 out of 5 stars,.
debarghyo chaudhuri,4.0 out of 5 stars,"Got it for 65K on Amazon prime day. So as a lifelong android user I have switched to IOS. So will be dividing this into the pros and negs:
Product red 128GB
Pros:
1) Received genuine product from Amazon( was quite sceptic about it though)
2) Built quality excellent
3) Camera quality excellent. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images. And also no shift in dynamic range while shifting B/W wide and ultra wide cams.
4) Display:- Its a really great display, not 120 hz, but the experience is no less than a 120 hz, coz of apple's great software optimization, buttery smooth, no jitters on the screen, won't feel like a 60 hz panel. Now the notch, yes it will be bothering a little bit but its got its own functions, face unlock and stuff (works great in all environmental conditions)after a little while you get adjusted and it got its own magic functions like when when the phone rings and you go close to it, it detects your presence and lowers the vol level.
5) Performance: Most powerful processor in the world.
6) Battery:- With light usage will easily go for 2 days and with heavy 1 day. Remember to follow a charging pattern and it will give a solid battery exp.
7) Speakers: Very loud with a small thump

Cons:
1) To keep photos and stuff you need to buy storage. 5 GB by default but that's nothing. Download google photos as an alternate sol. if you don't wanna buy storage.
2) File management system sucks, android is much better.
3) It has dolby atmos but for that you need a subscription to Apple music.
4) Does not have a telephoto cam, which I think is a must at this price point.
5) Somehow I am not getting 4g+ on my airtel, don't know why but in my android phone always used to get that.
6) No USB C
7) Siri is dumb AF
8) Apple maps are not good, so download Google maps.
9) Google keypad is much better than apple's.
10) Notification panel and those small things like typing in the notification panel and other things that you can do in android is much much better than apple.
11) As of now no haptic feedback while typing maybe coming on IOS 16

Note:- Apple ecosystem still exploring that part but whenever you click any pic it automatically gets updated and I can see it in my Macbook also.

Overall I would say if you are planning to buy a phone for responsiveness and does the everyday stuff without any hanging problems and stuff then buy it, and also if you are planning to keep it for a long time, then I think its a good investment for the future. Its got Great resale value.

Hope this helps in making your decision easier.

Update after 2 weeks of usage:

All the above points remains the same, but I did check out the ecosystem and the experience has been amazing.
1) I can receive and make phone calls (cellular calls) from my macbook, and the call quality is also good.So basically you can keep your phone in some other section of the house and you are working with your macbook somewhere else and if some call comes you can receive that on your macbook. PS:- your phone and macbook should be connected to a similar network, i.e wi-fi.
2) Airplay- Just from the lock screen itself i can play any video and also listen to music from my phone. So basically you can watch youtube amazon prime videos(app not in the macbook but present on phone) and other stuff and also listen to music, and the switch of devices is also seamless. So someone in my house can use my macbook to watch movies on amazon prime(playing from my phone) and I can browse linkedin or FB from my iphone."
Ishwar,4.0 out of 5 stars,"What do you want to hear about iPhone,if you are reading this review,it means that you have already done enough research to buy it.so, congratulations for your new iphoneðŸŽ‰"
Jyoti,4.0 out of 5 stars,Iphone 13 was good but after using 3 to 4 month it start heating. Camera quality is good even better than phone 15( I personally feel that).
Yuva Prasath,5.0 out of 5 stars,Mobile give a premium look very good mobile worth for money
Ayasha Saifi,4.0 out of 5 stars,ok
Placeholder,5.0 out of 5 stars,"i dont need to explain about the feature it an ""iPHONE"" name is enough.
Amazon super fast delivery, activated the phone got full 1 yrs warranty.
super fluid amazing speed nothing more to say."
Tufel Ajmeri,4.0 out of 5 stars,"Do I need to write a review for iPhone ?
People still gonna buy it anyway.
Little bit disappointed from macro lens otherwise who criticize Apple."
Hitesh Makwana,4.0 out of 5 stars,"Camera quality is just awesome ðŸ˜Ž
Battery life is also nice
Only problem you will face if you switch from Android is refresh rate
And don't know but apple keyboard isn't made for chatting or typing in lo al language."
V C Mohan,5.0 out of 5 stars,At this price point it's one of the best phones you can get! iOS is smooth as always and the camera setup as absolutely clinical. The downside tho is the minimal battery life but it can get you through an entire day.
Mohan Chhatwani,5.0 out of 5 stars,"I loved the phone
Nice perfomance"
jmk traders,5.0 out of 5 stars,thank You Am Happy
Shalin Sabu,4.0 out of 5 stars,Value for money
Saurabh Raghuvanshi,5.0 out of 5 stars,I love this phone
Placeholder,5.0 out of 5 stars,"Just a small phone you need for every day, work, entertainment and overall a good phone. iOS is one of the best systems overall in the market. Best display best battery best sound best design"
Mohammad Arif,5.0 out of 5 stars,iphone ha yaar lalo sab log or vesa bhi 13 ki ti bhout value ha
Arun,5.0 out of 5 stars,The phone dropped 3k on the day it was delivered. Feels like getting cheated.
Autohub India,5.0 out of 5 stars,Best buy instead of IP 14.
Amazon Customer,5.0 out of 5 stars,Great Phone
Avnish Shukla,5.0 out of 5 stars,"Good camera, nice performance, excellent display, fabulous sound"
Jayant,4.0 out of 5 stars,"iPhone 13 is like wow , I have updated from my iPhone SE 2020 to 13 and then Iâ€™m feeling like wonderful.the phone camera is 4.5 out of 5 .
Multitasking is very easy and thanks to Amazon for secure packaging."
Kumaresh,4.0 out of 5 stars,SUS
Sam,5.0 out of 5 stars,"I recently upgraded to the iPhone 13, and I couldn't be happier! The sleek design, stunning display, and lightning-fast performance make it a standout device. The camera quality is exceptional, capturing every moment with clarity and precision."
Avinash bogi,5.0 out of 5 stars,It was awesome phone
GS Patel,5.0 out of 5 stars,Camera is excellent.
koushik chaki,5.0 out of 5 stars,"I am using it since January, and completely satisfied. No doubt on product originality from seller end.
However facing some heating issue while continuous network usage."
prashant ashtekar,5.0 out of 5 stars,Original. Good camera quality
Gopal krishna Reddy,5.0 out of 5 stars,Everything looks good
Vishal,5.0 out of 5 stars,On time delivery and smooth process
